search_term,trait,value
Amytornis whitei,bb_Rr,1
Amytornis modestus,bb_ElevationalRange,500
Amytornis striatus,bb_ElevationalRange,500
Amytornis whitei,bb_ElevationalRange,500
Biziura lobata,bb_ElevationalRange,1200
Neophema elegans,bb_ElevationalRange,1200
Neophema splendida,bb_ElevationalRange,1200
Parvipsitta porphyrocephala,bb_ElevationalRange,1000
Spatula rhynchotis,bb_ElevationalRange,1120
Stictonetta naevosa,bb_ElevationalRange,300
Ardea plumifera,rec_stern_dehoedt_2000_minor_simpson,NA
Ardea plumifera,rec_geom_90M_s10e110_simpson,NA
Ardea plumifera,rec_dem-9s_range_90_10_norm,NA
