taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Acacia barattensis,sdm,,,R,Acacia barattensis,VU,Acacia barattensis
Acacia carneorum,sdm,VU,Acacia carneorum,V,Acacia carneorum,RA,Acacia carneorum
Acacia jennerae,sdm,,,R,Acacia jennerae,,
Acacia loderi,sdm,,,R,Acacia loderi,RA,Acacia loderi
Acanthiza iredalei,sdm,,,R,Acanthiza iredalei iredalei,RA,Acanthiza iredalei iredalei
Acrobates pygmaeus,sdm,,,E,Acrobates pygmaeus,EN,Acrobates pygmaeus
Actitis hypoleucos,sdm,,,R,Actitis hypoleucos,RA,Actitis hypoleucos
Alisma plantago-aquatica,sdm,,,,,RA,Alisma plantago-aquatica
Alternanthera nana,sdm,,,,,RA,Alternanthera nana
Amphibromus neesii,sdm,,,,,VU,Amphibromus neesii
Amytornis modestus,sdm,VU,Amytornis modestus,,,VU,Amytornis modestus curnamona
Anacampseros australiana,sdm,,,,,RA,Anacampseros australiana
Anhinga novaehollandiae,sdm,,,R,Anhinga novaehollandiae novaehollandiae,,
Anogramma leptophylla,sdm,,,R,Anogramma leptophylla,,
Antigone rubicunda,ibra,,,V,Grus rubicunda,VU,Grus rubicunda
Aphelocephala leucopsis,sdm,VU,Aphelocephala leucopsis,,,,
Ardea intermedia,sdm,,,R,Ardea intermedia plumifera,RA,Ardea intermedia plumifera
Ardeotis australis,sdm,,,V,Ardeotis australis,EN,Ardeotis australis
Aristida australis,ibra,,,R,Aristida australis,,
Aspicilia calcarea,ibra,,,,,,
Aspidites ramsayi,ibra,,,R,Aspidites ramsayi,RA,Aspidites ramsayi
Atriplex eichleri,sdm,,,R,Atriplex eichleri,RA,Atriplex eichleri
Austrostipa nullanulla,sdm,,,V,Austrostipa nullanulla,RA,Austrostipa nullanulla
Austrostipa petraea,sdm,,,R,Austrostipa petraea,RA,Austrostipa petraea
Austrostipa tuckeri,sdm,,,R,Austrostipa tuckeri,RA,Austrostipa tuckeri
Bidyanus bidyanus,sdm,CR,Bidyanus bidyanus,,,EN,Bidyanus bidyanus
Biziura lobata,sdm,,,R,Biziura lobata menziesi,,
Botaurus poiciloptilus,sdm,EN,Botaurus poiciloptilus,E,Botaurus poiciloptilus,EN,Botaurus poiciloptilus
Bothriochloa macra,ibra,,,R,Bothriochloa macra,,
Brachyscome ciliaris,sdm,,,R,Brachyscome ciliaris var. subintegrifolia,,
Brachyscome debilis,sdm,,,,,RA,Brachyscome debilis
Brachyscome paludicola,sdm,,,R,Brachyscome paludicola,RA,Brachyscome paludicola
Brachyurophis australis,sdm,,,,,RA,Brachyurophis australis
Caladenia toxochila,sdm,,,,,RA,Caladenia toxochila
Calidris acuminata,sdm,VU,Calidris acuminata,,,,
Calidris ferruginea,sdm,CR,Calidris ferruginea,E,Calidris ferruginea,CR,Calidris ferruginea
Calidris melanotos,sdm,,,R,Calidris melanotos,EN,Calidris melanotos
Callitriche sonderi,sdm,,,R,Callitriche sonderi,RA,Callitriche sonderi
Calochilus paludosus,sdm,,,V,Calochilus paludosus,EN,Calochilus paludosus
Calotis cuneifolia,sdm,,,,,RA,Calotis cuneifolia
Calotis scapigera,ibra,,,R,Calotis scapigera,RA,Calotis scapigera
Camponotus gibbinotus,ibra,,,,,,
Camponotus oetkeri,ibra,,,,,,
Centipeda nidiformis,sdm,,,,,RA,Centipeda nidiformis
Ceratophyllum demersum,sdm,,,R,Ceratophyllum demersum,RA,Ceratophyllum demersum
Chelodina expansa,sdm,,,V,Chelodina expansa,VU,Chelodina expansa
Chlidonias leucopterus,sdm,,,,,VU,Chlidonias leucopterus
Cinclosoma castanotum,sdm,,,R,Cinclosoma castanotum,,
Cladium procerum,sdm,,,R,Cladium procerum,RA,Cladium procerum
Cladorhynchus leucocephalus,sdm,,,V,Cladorhynchus leucocephalus,VU,Cladorhynchus leucocephalus
Climacteris affinis,sdm,,,R,Climacteris affinis,,
Codonocarpus pyramidalis,sdm,VU,Codonocarpus pyramidalis,E,Codonocarpus pyramidalis,VU,Codonocarpus pyramidalis
Corcorax melanorhamphos,sdm,,,R,Corcorax melanorhamphos,,
Coturnix ypsilophora,sdm,,,V,Coturnix ypsilophora australis,RA,Coturnix ypsilophora australis
Craspedia haplorrhiza,sdm,,,,,RA,Craspedia haplorrhiza
Crassula sieberiana,ibra,,,E,Crassula sieberiana,VU,Crassula sieberiana
