taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Abutilon cryptopetalum,sdm,,,,,RA,Abutilon cryptopetalum ssp. Grey leaves (R.Bates 3115)
Acacia iteaphylla,sdm,,,R,Acacia iteaphylla,RA,Acacia iteaphylla
Acacia jennerae,sdm,,,R,Acacia jennerae,,
Acacia montana,sdm,,,R,Acacia montana,RA,Acacia montana
Acacia quornensis,sdm,,,R,Acacia quornensis,RA,Acacia quornensis
Acacia sericophylla,sdm,,,,,RA,Acacia sericophylla
Acacia tarculensis,sdm,,,,,,
Acacia toondulya,sdm,,,R,Acacia toondulya,VU,Acacia toondulya
Acacia validinervia,sdm,,,,,RA,Acacia validinervia
Acanthiza iredalei,sdm,,,R,Acanthiza iredalei iredalei,RA,Acanthiza iredalei iredalei
Acanthophis antarcticus,sdm,,,,,RA,Acanthophis antarcticus
Actitis hypoleucos,sdm,,,R,Actitis hypoleucos,RA,Actitis hypoleucos
Allocasuarina helmsii,sdm,,,,,RA,Allocasuarina helmsii
Allocasuarina muelleriana,ibra,,,,,RA,Allocasuarina muelleriana ssp. alticola
Alternanthera nana,sdm,,,,,RA,Alternanthera nana
Althenia australis,sdm,,,,,RA,Lepilaena australis
Amegilla flava,ibra,,,,,,
Amytornis merrotsyi,sdm,VU,Amytornis merrotsyi merrotsyi,V,Amytornis merrotsyi merrotsyi,VU,Amytornis merrotsyi merrotsyi
Amytornis merrotsyi,sdm,EN,Amytornis merrotsyi pedleri,E,Amytornis merrotsyi pedleri,VU,Amytornis merrotsyi pedleri
Amytornis modestus,epbc,VU,Amytornis modestus,,,,
Amytornis striatus,ibra,,,R,Amytornis striatus,VU,Amytornis striatus (NC)
Amytornis textilis,sdm,VU,Amytornis textilis myall,V,Amytornis textilis myall,RA,Amytornis textilis myall
Amytornis whitei,sdm,,,R,,,
Anacampseros australiana,sdm,,,,,RA,Anacampseros australiana
Androcalva multiloba,ibra,,,E,Androcalva multiloba,EN,Androcalva multiloba
Angianthus glabratus,sdm,,,,,RA,Angianthus glabratus
Anhinga novaehollandiae,sdm,,,R,Anhinga novaehollandiae novaehollandiae,,
Anogramma leptophylla,sdm,,,R,Anogramma leptophylla,,
Anthocercis anisantha,sdm,,,R,Anthocercis anisantha ssp. anisantha,RA,Anthocercis anisantha ssp. anisantha
Aphelocephala leucopsis,sdm,VU,Aphelocephala leucopsis,,,,
Aprasia pseudopulchella,epbc,VU,Aprasia pseudopulchella,,,,
Ardea intermedia,sdm,,,R,Ardea intermedia plumifera,RA,Ardea intermedia plumifera
Ardeotis australis,ibra,,,V,Ardeotis australis,EN,Ardeotis australis
Atherinosoma elongatum,ibra,,,,,,
Atriplex nessorhina,sdm,,,,,RA,Atriplex nessorhina
Austrostipa echinata,ibra,,,R,Austrostipa echinata,RA,Austrostipa echinata
Austrostipa nullanulla,sdm,,,V,Austrostipa nullanulla,RA,Austrostipa nullanulla
Austrostipa petraea,sdm,,,R,Austrostipa petraea,RA,Austrostipa petraea
Austrostipa plumigera,sdm,,,R,Austrostipa plumigera,,
Austrostipa vickeryana,sdm,,,R,Austrostipa vickeryana,RA,Austrostipa vickeryana
Biziura lobata,sdm,,,R,Biziura lobata menziesi,,
Boganium malleense,ibra,,,,,,
Botaurus poiciloptilus,sdm,EN,Botaurus poiciloptilus,E,Botaurus poiciloptilus,EN,Botaurus poiciloptilus
Brachyhesma minya,ibra,,,,,,
Brachyscome ciliaris,sdm,,,R,Brachyscome ciliaris var. subintegrifolia,,
Brachyscome debilis,sdm,,,,,RA,Brachyscome debilis
Brachyscome muelleri,epbc,EN,Brachyscome muelleri,E,Brachyscome muelleri,CR,Brachyscome muelleri
Braunsapis occidentalis,ibra,,,,,,
Burbunga gilmorei,ibra,,,,,,
Caladenia clavula,sdm,,,,,RA,Caladenia clavula
Caladenia coactilis,sdm,,,R,Caladenia coactilis,RA,Caladenia coactilis
Caladenia dilatata,sdm,,,E,Caladenia dilatata,VU,Caladenia dilatata
Caladenia filamentosa,sdm,,,,,CR,Caladenia filamentosa
Caladenia fuscata,sdm,,,,,RA,Caladenia fuscata
Caladenia pusilla,sdm,,,R,Caladenia pusilla,RA,Caladenia pusilla
Caladenia tensa,sdm,EN,Caladenia tensa,,,RA,Caladenia tensa
Caladenia toxochila,sdm,,,,,RA,Caladenia toxochila
Calamanthus campestris,sdm,,,,,RA,Calamanthus campestris campestris
Calandrinia sphaerophylla,ibra,,,R,Calandrinia sphaerophylla,,
Calandrinia volubilis,sdm,,,,,RA,Calandrinia volubilis
Calidris acuminata,sdm,VU,Calidris acuminata,,,,
Calidris canutus,epbc,VU,Calidris canutus,E,Calidris canutus rogersi,EN,Calidris canutus rogersi
